Run,Tag
SRR28748153,1
SRR28748154,1
SRR28748155,1
SRR28748156,1
SRR28748157,1
SRR28748158,1
SRR28748159,1
SRR28748160,1
SRR28748161,1
SRR28748162,1
SRR28748163,1
SRR28748164,1
SRR28748165,1
SRR28748166,1
SRR28748167,1
SRR28748168,1
SRR28748169,1
SRR28748170,1
SRR28748171,1
SRR28748172,1
SRR28748173,1
SRR28748174,1
SRR28748175,1
SRR28748176,1
SRR28748177,1
SRR28748178,1
SRR28748179,1
SRR28748180,1
SRR28748181,1
SRR28748182,1
SRR28748183,1
SRR28748184,1
SRR28748185,1
SRR28748186,1
SRR28748187,1
SRR28748188,1
SRR28748189,1
SRR28748190,1
SRR28748191,1
SRR28748192,1
SRR28748193,1
SRR28748194,1
SRR28748195,1
SRR28748196,1
SRR28748197,1
SRR28748198,1
SRR28748199,1
SRR28748200,1
SRR28748201,1
SRR28748202,1
SRR28748203,1
SRR28748204,1
SRR28748205,1
SRR28748206,1
SRR28748207,1
SRR28748208,1
SRR28748209,1
SRR28748210,1
SRR28748211,1
SRR28748212,1
SRR28748213,1
SRR28748214,1
SRR28748215,1
SRR28748216,1
SRR28748217,0
SRR28748218,0
SRR28748219,0
SRR28748220,0
SRR28748221,0
SRR28748222,0
SRR28748223,0
SRR28748224,0
SRR28748225,0
SRR28748226,0
SRR28748227,1
SRR28748228,0
SRR28748229,0
SRR28748230,0
SRR28748231,0
SRR28748232,0
SRR28748233,0
SRR28748234,0
SRR28748235,0
SRR28748236,0
SRR28748237,0
SRR28748238,1
SRR28748239,0
SRR28748240,0
SRR28748241,0
SRR28748242,0
SRR28748243,0
SRR28748244,0
SRR28748245,0
SRR28748246,0
SRR28748247,0
SRR28748248,0
SRR28748249,1
SRR28748250,1
SRR28748251,1
SRR28748252,1
SRR28748253,1
SRR28748254,1
SRR28748255,1
SRR28748256,1
SRR28748257,1
SRR28748258,1
SRR28748259,1
SRR28748260,1
SRR28748261,1
SRR28748262,1
SRR28748263,1
SRR28748264,1
SRR28748265,1
SRR28748266,1
SRR28748267,1
SRR28748268,1
SRR28748269,1
SRR28748270,1
SRR28748271,1
SRR28748272,1
SRR28748273,1
SRR28748274,1
SRR28748275,1
SRR28748276,1
SRR28748277,1
SRR28748278,1
SRR28748279,1
SRR28748280,1
SRR28748281,1
SRR28748282,0
SRR28748283,0
SRR28748284,0
SRR28748285,0
SRR28748286,0
SRR28748287,0
SRR28748288,0
SRR28748289,0
SRR28748290,0
SRR28748291,0
SRR28748292,1
SRR28748293,0
SRR28748294,0
SRR28748295,0
SRR28748296,0
SRR28748297,0
SRR28748298,0
SRR28748299,0
SRR28748300,0
SRR28748301,0
SRR28748302,0
SRR28748303,1
SRR28748304,0
SRR28748305,0
SRR28748306,0
SRR28748307,0
SRR28748308,0
SRR28748309,0
SRR28748310,0
SRR28748311,0
SRR28748312,0
SRR28748313,0
SRR28748314,0
SRR28748315,0
SRR28748316,0
SRR28748317,0
SRR28748318,0
SRR28748319,0
SRR28748320,0
SRR28748321,0
SRR28748322,0
SRR28748323,1
SRR28748324,0
SRR28748325,0
SRR28748326,0
SRR28748327,0
SRR28748328,1
SRR28748329,1
SRR28748330,1
SRR28748331,1
SRR28748332,1
SRR28748333,1
SRR28748334,1
SRR28748335,1
SRR28748336,1
SRR28748337,0
SRR28748338,0
SRR28748339,0
SRR28748340,0
SRR28748341,0
SRR28748342,0
SRR28748343,0
SRR28748344,0
SRR28748345,1
SRR28748346,0
SRR28748347,0
SRR28748348,0
SRR28748349,0
SRR28748350,0
SRR28748351,0
SRR28748352,0
SRR28748353,0
SRR28748354,0
SRR28748355,0
SRR28748356,1
SRR28748357,0
SRR28748358,0
SRR28748359,1
SRR28748360,1
SRR28748361,1
SRR28748362,1
SRR28748363,0
SRR28748364,0
SRR28748365,0
SRR28748366,0
SRR28748367,1
SRR28748368,0
SRR28748369,1
SRR28748370,1
SRR28748371,1
