Run,Sample Name,Tag,type
SRR5431337,PD100.f,1,16S
SRR5431338,PD097.f,1,16S
SRR5431339,PD086.f,1,16S
SRR5431340,PD085.f,1,16S
SRR5431341,PD083.f,1,16S
SRR5431342,PD082.f,1,16S
SRR5431343,PD075.f,1,16S
SRR5431344,PD074.f,1,16S
SRR5431345,PD072.f,1,16S
SRR5431346,PD069.f,1,16S
SRR5431347,PD068.f,1,16S
SRR5431348,PD067.f,1,16S
SRR5431349,PD065.f,1,16S
SRR5431350,PD063.f,1,16S
SRR5431351,PD055.f,1,16S
SRR5431352,PD044.f,1,16S
SRR5431353,PD037.f,1,16S
SRR5431354,PD036.f,1,16S
SRR5431355,PD035.f,1,16S
SRR5431356,PD029.f,1,16S
SRR5431357,PD025.f,1,16S
SRR5431358,PD012.f,1,16S
SRR5431359,PD011.f,1,16S
SRR5431360,PD007.f,1,16S
SRR5431361,PD003.f,1,16S
SRR5431362,PD002.f,1,16S
SRR5431363,HC077.f,0,16S
SRR5431364,HC074.f,0,16S
SRR5431365,HC073.f,0,16S
SRR5431366,HC068.f,0,16S
SRR5431367,HC062.f,0,16S
SRR5431368,HC061.f,0,16S
SRR5431369,HC060.f,0,16S
SRR5431370,HC059.f,0,16S
SRR5431371,HC056.f,0,16S
SRR5431372,HC051.f,0,16S
SRR5431373,HC049.f,0,16S
SRR5431374,HC047.f,0,16S
SRR5431375,HC046.f,0,16S
SRR5431376,HC044.f,0,16S
SRR5431377,HC042.f,0,16S
SRR5431378,HC040.f,0,16S
SRR5431379,HC037.f,0,16S
SRR5431380,HC035.f,0,16S
SRR5431381,HC034.f,0,16S
SRR5431382,HC033.f,0,16S
SRR5431383,HC032.f,0,16S
SRR5431384,HC029.f,0,16S
SRR5431385,HC028.f,0,16S
SRR5431386,HC027.f,0,16S
SRR5431387,HC025.f,0,16S
SRR5431388,HC024.f,0,16S
SRR5431389,HC023.f,0,16S
SRR5431390,HC020.f,0,16S
SRR5431391,HC019.f,0,16S
SRR5431392,HC017.f,0,16S
SRR5431393,HC016.f,0,16S
SRR5431394,HC015.f,0,16S
SRR5431395,HC013.f,0,16S
SRR5431396,HC011.f,0,16S
SRR5431397,HC009.f,0,16S
SRR5431398,HC007.f,0,16S
SRR5431399,HC003.f,0,16S
SRR5431400,HC002.f,0,16S
