Run,Tag
SRR15852922,0
SRR15852923,0
SRR15852924,0
SRR15852925,0
SRR15852926,0
SRR15852927,0
SRR15852928,0
SRR15852929,0
SRR15852930,0
SRR15852931,0
SRR15852932,0
SRR15852933,0
SRR15852934,0
SRR15852935,0
SRR15852936,0
SRR15852937,0
SRR15852938,0
SRR15852939,0
SRR15852940,0
SRR15852941,1
SRR15852942,1
SRR15852943,1
SRR15852944,1
SRR15852945,1
SRR15852946,1
SRR15852947,1
SRR15852948,1
SRR15852949,1
SRR15852950,0
SRR15852951,0
SRR15852952,0
SRR15852953,0
SRR15852954,0
SRR15852955,0
SRR15852956,0
SRR15852957,0
SRR15852958,0
SRR15852959,0
SRR15852960,0
SRR15852961,1
SRR15852962,0
SRR15852963,0
SRR15852964,0
SRR15852965,0
SRR15852966,0
SRR15852967,0
SRR15852968,0
SRR15852969,0
SRR15852970,0
SRR15852971,0
SRR15852972,0
SRR15852973,1
SRR15852974,1
SRR15852975,1
SRR15852976,1
SRR15852977,1
SRR15852978,1
SRR15852979,1
SRR15852980,1
SRR15852981,1
SRR15852982,0
SRR15852983,1
SRR15852984,1
SRR15852985,1
SRR15852986,1
SRR15852987,1
SRR15852988,1
SRR15852989,1
SRR15852990,1
SRR15852991,1
SRR15852992,1
SRR15852993,0
SRR15852994,1
SRR15852995,1
SRR15852996,1
SRR15852997,1
SRR15852998,1
SRR15852999,1
SRR15853000,1
SRR15853001,1
SRR15853002,1
SRR15853003,1
SRR15853004,0
SRR15853005,1
SRR15853006,1
SRR15853007,1
SRR15853008,1
SRR15853009,1
SRR15853010,1
SRR15853011,1
SRR15853012,1
SRR15853013,1
SRR15853014,1
SRR15853015,0
SRR15853016,1
SRR15853017,1
SRR15853018,1
SRR15853019,1
SRR15853020,1
SRR15853021,1
SRR15853022,1
SRR15853023,1
SRR15853024,1
SRR15853025,1
SRR15853026,0
SRR15853027,0
SRR15853028,0
SRR15853029,0
